assetPath,photoshop:Country{{String}},dc:title{{String}},tiff:Make{{String}},photoshop:DateCreated{{Date}},prismusagerights:creditLine{{String: multi }},dam:Fileformat{{String}},xmp:CreatorTool{{String}},dc:format{{String}},dc:description{{String}},photoshop:Credit{{String}},dc:rights{{String}},dc:subject{{String: multi }},dam:MIMEtype{{String}}
/content/dam/we-retail/en/activities/sports/tug-of-war.jpeg,United States of America,tug of war,NIKON CORPORATION,2017-07-07T13:29:29.000+00:00,LIGHTFIELD STUDIOS - stock.adobe.com,JPEG,Adobe Photoshop (Macintosh),image/jpeg,side view of adorable multiethnic kids pulling rope in park,LIGHTFIELD STUDIOS - stock.adobe.com,��LIGHTFIELD STUDIOS - stock.adobe.com,"game,competition,play,beautiful,happy,grass,people,sunlight,park,cute,smile,friendship,european,childhood,children,kids,adorable,together,togetherness,friends,strength,rope,casual,teamwork,effort,backlit,preteen,girlhood,boyhood,preadolescent,side view,leisure activity,african american,tug of war,black girl,pulling rope,Caucasian Boys,Caucasian Girls,multiethnic kids|game|competition|play|beautiful|happy|grass|people|sunlight|park|cute|smile|friendship|european|childhood|children|kids|adorable|together|togetherness|friends|strength|rope|casual|teamwork|effort|backlit|preteen|girlhood|boyhood|preadolescent|side view|leisure activity|african american|tug of war|black girl|pulling rope|caucasian boys|caucasian girls|multiethnic kids",image/jpeg
/content/dam/we-retail/en/activities/sports/racing.jpeg,United States of America,Red race car close up front view on a track leading the pack,,,storm - stock.adobe.com,JPEG,Adobe Photoshop CS5 Windows,image/jpeg,,storm - stock.adobe.com,��storm - stock.adobe.com,race|leader|speedway|formula one|sports|formula 1|in the lead|car|f1|track|outdoor|technologies|racer|perspective|view|power|horizontal|win|asphalt|tarmac|engine|circuit|black|vehicle|tire|team|automobile|wheel|transport|winner|lap|drive|speed|powerful|moving|motion|hi-tech|competition|movement|career|super|journey|auto|heating|innovative|bolide|road|fast|burning,image/jpeg
/content/dam/we-retail/en/activities/sports/ice-hockey.jpeg,Russian Federation,Ice hockey player at rink,Canon,2013-01-17T17:06:54.000+00:00,Sergey Nivens - stock.adobe.com,JPEG,Adobe Photoshop (Macintosh),image/jpeg,Hockey player in lights at ice rink,Sergey Nivens - stock.adobe.com,��Sergey Nivens - stock.adobe.com,hockey|white|stick|competitive|light|equipment|puck|winter|professional|stadium|sports|ice-skating|helmet|playing|goal|ice|team|rink|skate|action|view|determination|skill|effort|goalie|muscular|smoke|padding|frozen|sport|sliding|success|playful,image/jpeg
/content/dam/we-retail/en/activities/sports/running.jpeg,Malaysia,wheel chair race for disabled persons,Canon,2006-11-28T15:17:48.000-08:00,Shariff Che'Lah - stock.adobe.com,JPEG,Adobe Photoshop,image/jpeg,,Shariff Che'Lah - stock.adobe.com,��Shariff Che'Lah - stock.adobe.com,wheel chair|wheel|chair|disabled|disable|handicap|handicaps|compete|competitor|competition|champion|championship|championships|match|event|events|sport|sports|outdoor|outdoors|determination|challenge|athlete|athletes|athletic|physical|training|international|fespic|paralympic|olympic|game|games|tournament|tournaments|win|winner|matches|men|paraplegic|recreation,image/jpeg
/content/dam/we-retail/en/activities/sports/foosball.jpeg,United States of America,foosball,NIKON CORPORATION,2017-09-01T16:20:44.000+00:00,LIGHTFIELD STUDIOS - stock.adobe.com,JPEG,Adobe Photoshop (Macintosh),image/jpeg,group of happy young friends playing table football on roof,LIGHTFIELD STUDIOS - stock.adobe.com,��LIGHTFIELD STUDIOS - stock.adobe.com,"game,sport,leisure,competition,play,group,celebration,event,happy,party,female,young,summer,people,friendship,male,youth,roof,playing,together,togetherness,friends,afro,students,kicker,foosball,caucasian women,black woman,african american,mixed race,spending time,black man,table football,caucasian man,multiethnic women,multiethnic men|game|sport|leisure|competition|play|group|celebration|event|happy|party|female|young|summer|people|friendship|male|youth|roof|playing|together|togetherness|friends|afro|students|kicker|foosball|caucasian women|black woman|african american|mixed race|spending time|black man|table football|caucasian man|multiethnic women|multiethnic men",image/jpeg
/content/dam/we-retail/en/activities/sports/volleyball.jpeg,United States of America,Volleyball Serve Ch,NIKON CORPORATION,2007-10-09T19:57:59.000-07:00,alice rawson - stock.adobe.com,JPEG,Adobe Photoshop Elements 4.0 Windows,image/jpeg,,alice rawson - stock.adobe.com,��alice rawson - stock.adobe.com,volleyball|game|sport|athletes|athletics|high school|teenagers|competition|action,image/jpeg
/content/dam/we-retail/en/activities/sports/hockey.jpeg,Malaysia,hockey player in action,Canon,2005-06-05T20:07:12.000-07:00,Tan Kian Khoon - stock.adobe.com,JPEG,Adobe Photoshop,image/jpeg,Hockey Player In Action (motion blur effect),Tan Kian Khoon - stock.adobe.com,��Tan Kian Khoon - stock.adobe.com,hockey|sport|sports|game|games|action|match|matches|people|blur|motion|man|men|player|tournament|athletic|athlete|athletes|competition|athletics|sticks|championship|team|work|teamwork|teams|strategy|strategies|ball,image/jpeg
/content/dam/we-retail/en/activities/sports/football.jpeg,United States of America,American Football Player Catching a touchdown Pass,,,Brocreative - stock.adobe.com,JPEG,Adobe Photoshop CS5 Macintosh,image/jpeg,,Brocreative - stock.adobe.com,��Brocreative - stock.adobe.com,football|player|american|touchdown|superbowl|pass|action|a|photo|amazing|arms|ball|wide|trying|success|win|dive|jump|black|team|scoring|receiver|african|athlete|making|motion|professional|stadium|university|competition|incredible|athletic|score|college|victory|through|uniform|big|live|game|sport|lights|catch|air,image/jpeg
/content/dam/we-retail/en/activities/sports/soccer.jpeg,United States of America,Hispanic Soccer Player heading the ball,,,Brocreative - stock.adobe.com,JPEG,Adobe Photoshop CS5 Macintosh,image/jpeg,,Brocreative - stock.adobe.com,��Brocreative - stock.adobe.com,soccer|futbol|stadium|latino|heading|club|talented|mexican|ball|field|win|night|cup|male|grass|elite|defender|skilled|team|scoring|dark|striker|lines|football|hispanic|athlete|motion|competition|midfielder|during|effect|score|player|large|game|action|sport|lights|header,image/jpeg
/content/dam/we-retail/en/activities/sports/basektball.jpeg,United States of America,Scoring the winning points at a basketball game,,,Brocreative - stock.adobe.com,JPEG,Adobe Photoshop CS5 Macintosh,image/jpeg,,Brocreative - stock.adobe.com,��Brocreative - stock.adobe.com,nba|hoop|net|ball|shot|team|pro|arena|below|point|game|swoosh|win|goal|pointer|scoring|three|basket|gym|basketball|low|professional|swish|athletics|competition|score|bucket|angle|victory|action|sport,image/jpeg
/content/dam/we-retail/en/activities/sports/cricket.jpeg,United States of America,english cricket match,NIKON CORPORATION,2006-04-24T04:09:53.000-07:00,Michael Flippo - stock.adobe.com,JPEG,Adobe Photoshop CS Windows,image/jpeg,English Cricket match ,Michael Flippo - stock.adobe.com,��Michael Flippo - stock.adobe.com,cricket|english|india|pakistan|australia|game|sport|challenge|wicket|pitch|catch|out|innings|competition|excitement|winning|losing|bat|glove|bowler|bowling|bowl|grass|batsman|catcher|receiver|baseball. rounders|baseball  rounders,image/jpeg
